benchmark,method,score,opt_latency_ms,inf_latency_ms,n_samples
bbh,apo,0.0000,0.04,42.00,2
bbh,evoprompt,0.0000,0.04,39.30,3
bbh,opro,0.0000,0.07,43.00,3
bbh,poaas,0.0000,125.00,41.66,3
bbh,poaas_full,0.0000,0.00,39.98,1
bbh,poaas_no_drift,0.0000,0.00,40.17,1
bbh,poaas_no_skip,0.0000,0.00,41.29,1
commonsenseqa,evoprompt,1.0000,0.07,46.82,3
commonsenseqa,opro,1.0000,0.11,49.70,3
commonsenseqa,poaas,1.0000,125.00,44.91,3
commonsenseqa,poaas_full,1.0000,0.00,39.68,1
commonsenseqa,poaas_no_drift,1.0000,0.00,39.26,1
commonsenseqa,poaas_no_skip,1.0000,0.00,42.68,1
gsm8k,apo,1.0000,0.04,39.92,2
gsm8k,evoprompt,1.0000,0.05,40.58,3
gsm8k,opro,1.0000,0.07,42.94,3
gsm8k,poaas,1.0000,125.00,42.25,3
gsm8k,poaas_full,1.0000,0.00,39.21,1
gsm8k,poaas_no_drift,1.0000,0.00,38.80,1
gsm8k,poaas_no_skip,1.0000,0.00,43.09,1
